Subject,Keyboard,Posture,Posture_Order,Trial,WPM,Error_Rate
1,iPhone,Sit,1,1,21.05,0.01
1,iPhone,Sit,1,2,15.95,0.02
1,iPhone,Sit,1,3,21.51,0.01
1,iPhone,Sit,1,4,24.37,0
1,iPhone,Sit,1,5,22.58,0.05
1,iPhone,Sit,1,6,24.82,0.06
1,iPhone,Sit,1,7,24.35,0
1,iPhone,Sit,1,8,17.39,0.03
1,iPhone,Sit,1,9,20.76,0.03
1,iPhone,Sit,1,10,15.98,0.03
1,iPhone,Sit,1,11,25.52,0
1,iPhone,Sit,1,12,23.43,0.01
1,iPhone,Sit,1,13,20.94,0.03
1,iPhone,Sit,1,14,16.69,0.04
1,iPhone,Sit,1,15,17.57,0.01
1,iPhone,Sit,1,16,17.92,0.03
1,iPhone,Sit,1,17,20.46,0.02
1,iPhone,Sit,1,18,17.57,0.01
1,iPhone,Sit,1,19,16.06,0.03
1,iPhone,Sit,1,20,19.37,0.02
1,iPhone,Stand,2,1,21.42,0.04
1,iPhone,Stand,2,2,22.6,0.02
1,iPhone,Stand,2,3,20.07,0.01
1,iPhone,Stand,2,4,22.91,0.02
1,iPhone,Stand,2,5,18.89,0.04
1,iPhone,Stand,2,6,24.47,0.02
1,iPhone,Stand,2,7,30.03,0.05
1,iPhone,Stand,2,8,22.74,0.02
1,iPhone,Stand,2,9,29.58,0.02
1,iPhone,Stand,2,10,27.3,0.04
1,iPhone,Stand,2,11,24.8,0.02
1,iPhone,Stand,2,12,18.22,0.04
1,iPhone,Stand,2,13,35.61,0.03
1,iPhone,Stand,2,14,20.85,0.03
1,iPhone,Stand,2,15,21.23,0.01
1,iPhone,Stand,2,16,23.54,0.01
1,iPhone,Stand,2,17,23.08,0.04
1,iPhone,Stand,2,18,20.97,0.06
1,iPhone,Stand,2,19,19.09,0.05
1,iPhone,Stand,2,20,27.57,0.03
1,iPhone,Walk,3,1,15.5,0.03
1,iPhone,Walk,3,2,23.6,0.05
1,iPhone,Walk,3,3,15.37,0.05
1,iPhone,Walk,3,4,21.6,0.03
1,iPhone,Walk,3,5,18.19,0.09
1,iPhone,Walk,3,6,19.19,0.05
1,iPhone,Walk,3,7,25.57,0.06
1,iPhone,Walk,3,8,19,0.03
1,iPhone,Walk,3,9,29.45,0.02
1,iPhone,Walk,3,10,20.54,0.04
1,iPhone,Walk,3,11,15.22,0.04
1,iPhone,Walk,3,12,24.31,0.08
1,iPhone,Walk,3,13,19.03,0.04
1,iPhone,Walk,3,14,16.92,0.04
1,iPhone,Walk,3,15,22.86,0.04
1,iPhone,Walk,3,16,31.23,0
1,iPhone,Walk,3,17,22.39,0.03
1,iPhone,Walk,3,18,23.47,0.07
1,iPhone,Walk,3,19,20.83,0
1,iPhone,Walk,3,20,11.65,0.04
2,iPhone,Sit,1,1,21.47,0
2,iPhone,Sit,1,2,20.62,0.03
2,iPhone,Sit,1,3,20.57,0.02
2,iPhone,Sit,1,4,25.09,0.01
2,iPhone,Sit,1,5,27.17,0.04
2,iPhone,Sit,1,6,18.98,0.01
2,iPhone,Sit,1,7,17.75,0.03
2,iPhone,Sit,1,8,23.78,0.04
2,iPhone,Sit,1,9,17.5,0.03
2,iPhone,Sit,1,10,20.04,0.01
2,iPhone,Sit,1,11,21.11,0.05
2,iPhone,Sit,1,12,23.33,0.03
2,iPhone,Sit,1,13,20.26,0.02
2,iPhone,Sit,1,14,24.34,0.01
2,iPhone,Sit,1,15,19.16,0.02
2,iPhone,Sit,1,16,19.49,0
2,iPhone,Sit,1,17,18.82,0
2,iPhone,Sit,1,18,17.94,0.04
2,iPhone,Sit,1,19,20.65,0.03
2,iPhone,Sit,1,20,19.54,0.02
2,iPhone,Stand,3,1,17.44,0.01
2,iPhone,Stand,3,2,23.57,0.01
2,iPhone,Stand,3,3,25.45,0.04
2,iPhone,Stand,3,4,16.44,0.03
2,iPhone,Stand,3,5,26.19,0.01
2,iPhone,Stand,3,6,21.55,0.04
2,iPhone,Stand,3,7,21.91,0.04
2,iPhone,Stand,3,8,24.32,0.03
2,iPhone,Stand,3,9,30.8,0.03
2,iPhone,Stand,3,10,27.57,0.03
2,iPhone,Stand,3,11,23.36,0.02
2,iPhone,Stand,3,12,27.13,0.05
2,iPhone,Stand,3,13,15.22,0
2,iPhone,Stand,3,14,22.73,0.04
2,iPhone,Stand,3,15,28.39,0.02
2,iPhone,Stand,3,16,24.57,0.01
2,iPhone,Stand,3,17,23.91,0.05
2,iPhone,Stand,3,18,19.51,0.03
2,iPhone,Stand,3,19,24.26,0.01
2,iPhone,Stand,3,20,20.87,0.01
2,iPhone,Walk,2,1,21.68,0.01
2,iPhone,Walk,2,2,21.28,0.06
2,iPhone,Walk,2,3,24.05,0.03
2,iPhone,Walk,2,4,15.26,0.05
2,iPhone,Walk,2,5,27.55,0.08
2,iPhone,Walk,2,6,18.14,0.02
2,iPhone,Walk,2,7,11.15,0.06
2,iPhone,Walk,2,8,19.39,0.03
2,iPhone,Walk,2,9,24.08,0.03
2,iPhone,Walk,2,10,12.34,0.03
2,iPhone,Walk,2,11,18.1,0.03
2,iPhone,Walk,2,12,18.13,0.04
2,iPhone,Walk,2,13,14.81,0.03
2,iPhone,Walk,2,14,24.23,0.01
2,iPhone,Walk,2,15,12.69,0.02
2,iPhone,Walk,2,16,17.62,0.03
2,iPhone,Walk,2,17,15.86,0.01
2,iPhone,Walk,2,18,21.24,0.06
2,iPhone,Walk,2,19,22.08,0.02
2,iPhone,Walk,2,20,22.93,0.06
3,iPhone,Sit,2,1,19.99,0.04
3,iPhone,Sit,2,2,23.7,0.02
3,iPhone,Sit,2,3,24.42,0
3,iPhone,Sit,2,4,23.8,0
3,iPhone,Sit,2,5,20.94,0.02
3,iPhone,Sit,2,6,23.19,0.01
3,iPhone,Sit,2,7,19.19,0
3,iPhone,Sit,2,8,21.1,0.03
3,iPhone,Sit,2,9,27.58,0.01
3,iPhone,Sit,2,10,17.54,0.01
3,iPhone,Sit,2,11,18.19,0.01
3,iPhone,Sit,2,12,19.02,0.03
3,iPhone,Sit,2,13,18.21,0.02
3,iPhone,Sit,2,14,19.48,0.02
3,iPhone,Sit,2,15,22.62,0.02
3,iPhone,Sit,2,16,24.05,0.02
3,iPhone,Sit,2,17,24.74,0.02
3,iPhone,Sit,2,18,12.73,0.02
3,iPhone,Sit,2,19,23.7,0.03
3,iPhone,Sit,2,20,21.08,0.03
3,iPhone,Stand,1,1,32.13,0.02
3,iPhone,Stand,1,2,20.39,0.02
3,iPhone,Stand,1,3,25.69,0.04
3,iPhone,Stand,1,4,25.59,0.04
3,iPhone,Stand,1,5,25.17,0.01
3,iPhone,Stand,1,6,25.3,0.03
3,iPhone,Stand,1,7,27.62,0
3,iPhone,Stand,1,8,23.1,0.01
3,iPhone,Stand,1,9,18.83,0.06
3,iPhone,Stand,1,10,20.04,0.01
3,iPhone,Stand,1,11,17.48,0.05
3,iPhone,Stand,1,12,24.66,0
3,iPhone,Stand,1,13,25.47,0.03
3,iPhone,Stand,1,14,23.01,0.07
3,iPhone,Stand,1,15,30.74,0.03
3,iPhone,Stand,1,16,21.03,0.03
3,iPhone,Stand,1,17,19.9,0.01
3,iPhone,Stand,1,18,20.11,0.03
3,iPhone,Stand,1,19,23.34,0.04
3,iPhone,Stand,1,20,20.29,0.04
3,iPhone,Walk,3,1,30.69,0.04
3,iPhone,Walk,3,2,24.12,0.04
3,iPhone,Walk,3,3,21.45,0.04
3,iPhone,Walk,3,4,18.48,0.03
3,iPhone,Walk,3,5,28.34,0.02
3,iPhone,Walk,3,6,11.99,0.04
3,iPhone,Walk,3,7,21.87,0.04
3,iPhone,Walk,3,8,18.76,0.03
3,iPhone,Walk,3,9,19,0.07
3,iPhone,Walk,3,10,12.18,0.03
3,iPhone,Walk,3,11,20.68,0.04
3,iPhone,Walk,3,12,15.13,0.06
3,iPhone,Walk,3,13,12.75,0.05
3,iPhone,Walk,3,14,34.9,0.07
3,iPhone,Walk,3,15,23.25,0.04
3,iPhone,Walk,3,16,19.48,0.04
3,iPhone,Walk,3,17,18.52,0.02
3,iPhone,Walk,3,18,27.2,0
3,iPhone,Walk,3,19,15.68,0.04
3,iPhone,Walk,3,20,22.62,0.05
4,iPhone,Sit,2,1,21.12,0.02
4,iPhone,Sit,2,2,19.88,0.02
4,iPhone,Sit,2,3,18.71,0
4,iPhone,Sit,2,4,22.59,0.02
4,iPhone,Sit,2,5,19.67,0
4,iPhone,Sit,2,6,19.53,0.02
4,iPhone,Sit,2,7,17.82,0.01
4,iPhone,Sit,2,8,17.03,0.02
4,iPhone,Sit,2,9,26.83,0.04
4,iPhone,Sit,2,10,23.15,0.03
4,iPhone,Sit,2,11,22.45,0.02
4,iPhone,Sit,2,12,17.89,0.01
4,iPhone,Sit,2,13,22.01,0.03
4,iPhone,Sit,2,14,20.54,0.03
4,iPhone,Sit,2,15,24.24,0.02
4,iPhone,Sit,2,16,18.41,0.05
4,iPhone,Sit,2,17,15.38,0.01
4,iPhone,Sit,2,18,22.29,0
4,iPhone,Sit,2,19,18.75,0
4,iPhone,Sit,2,20,25.87,0.03
4,iPhone,Stand,3,1,24.01,0.06
4,iPhone,Stand,3,2,24.42,0.03
4,iPhone,Stand,3,3,33.73,0.01
4,iPhone,Stand,3,4,22.79,0.03
4,iPhone,Stand,3,5,23.63,0.05
4,iPhone,Stand,3,6,24.34,0.04
4,iPhone,Stand,3,7,24.9,0.05
4,iPhone,Stand,3,8,14.92,0.01
4,iPhone,Stand,3,9,24.03,0.04
4,iPhone,Stand,3,10,24.81,0.05
4,iPhone,Stand,3,11,16.73,0.06
4,iPhone,Stand,3,12,29.66,0.05
4,iPhone,Stand,3,13,31.43,0.04
4,iPhone,Stand,3,14,19.48,0.03
4,iPhone,Stand,3,15,24.8,0.03
4,iPhone,Stand,3,16,24.53,0.01
4,iPhone,Stand,3,17,22.97,0.01
4,iPhone,Stand,3,18,26.53,0.05
4,iPhone,Stand,3,19,22.47,0.05
4,iPhone,Stand,3,20,18.26,0
4,iPhone,Walk,1,1,15.43,0.03
4,iPhone,Walk,1,2,14.14,0.02
4,iPhone,Walk,1,3,19.99,0.05
4,iPhone,Walk,1,4,21.66,0.05
4,iPhone,Walk,1,5,17.17,0.01
4,iPhone,Walk,1,6,13.75,0.03
4,iPhone,Walk,1,7,22.23,0.03
4,iPhone,Walk,1,8,11.33,0.04
4,iPhone,Walk,1,9,21.77,0.04
4,iPhone,Walk,1,10,20.23,0.03
4,iPhone,Walk,1,11,20.26,0.05
4,iPhone,Walk,1,12,25.57,0.04
4,iPhone,Walk,1,13,25.15,0.04
4,iPhone,Walk,1,14,12.04,0.04
4,iPhone,Walk,1,15,16.33,0.06
4,iPhone,Walk,1,16,19.79,0.03
4,iPhone,Walk,1,17,14.65,0.02
4,iPhone,Walk,1,18,21.88,0.06
4,iPhone,Walk,1,19,11.5,0.08
4,iPhone,Walk,1,20,20.28,0.06
5,iPhone,Sit,3,1,22.25,0.01
5,iPhone,Sit,3,2,15.2,0.03
5,iPhone,Sit,3,3,21.29,0.01
5,iPhone,Sit,3,4,23.21,0.01
5,iPhone,Sit,3,5,20.52,0
5,iPhone,Sit,3,6,18.79,0.01
5,iPhone,Sit,3,7,17.27,0.04
5,iPhone,Sit,3,8,19.14,0.02
5,iPhone,Sit,3,9,25.83,0.01
5,iPhone,Sit,3,10,20.28,0.01
5,iPhone,Sit,3,11,21.95,0.02
5,iPhone,Sit,3,12,22.72,0.02
5,iPhone,Sit,3,13,24.09,0.03
5,iPhone,Sit,3,14,21.32,0.01
5,iPhone,Sit,3,15,22.8,0.03
5,iPhone,Sit,3,16,16.78,0.02
5,iPhone,Sit,3,17,19.18,0
5,iPhone,Sit,3,18,24.65,0.01
5,iPhone,Sit,3,19,25.07,0.04
5,iPhone,Sit,3,20,17.81,0.01
5,iPhone,Stand,1,1,31.01,0.04
5,iPhone,Stand,1,2,23.87,0.07
5,iPhone,Stand,1,3,26.18,0.02
5,iPhone,Stand,1,4,20.54,0.02
5,iPhone,Stand,1,5,25.56,0.03
5,iPhone,Stand,1,6,17.97,0.06
5,iPhone,Stand,1,7,30.02,0.02
5,iPhone,Stand,1,8,23.53,0.01
5,iPhone,Stand,1,9,23.67,0
5,iPhone,Stand,1,10,24.12,0.03
5,iPhone,Stand,1,11,19.7,0.02
5,iPhone,Stand,1,12,24.44,0.05
5,iPhone,Stand,1,13,18.49,0.04
5,iPhone,Stand,1,14,22.21,0.02
5,iPhone,Stand,1,15,22.08,0.02
5,iPhone,Stand,1,16,19.28,0.04
5,iPhone,Stand,1,17,26.37,0.02
5,iPhone,Stand,1,18,32.64,0.04
5,iPhone,Stand,1,19,14.07,0.03
5,iPhone,Stand,1,20,23.65,0.03
5,iPhone,Walk,2,1,19.16,0.04
5,iPhone,Walk,2,2,15.34,0.03
5,iPhone,Walk,2,3,19.18,0.05
5,iPhone,Walk,2,4,14.79,0.06
5,iPhone,Walk,2,5,22.62,0.01
5,iPhone,Walk,2,6,17.58,0.04
5,iPhone,Walk,2,7,14.61,0.05
5,iPhone,Walk,2,8,17.47,0.06
5,iPhone,Walk,2,9,17.68,0.1
5,iPhone,Walk,2,10,16.96,0.09
5,iPhone,Walk,2,11,18.49,0.06
5,iPhone,Walk,2,12,18.3,0.01
5,iPhone,Walk,2,13,18.68,0.08
5,iPhone,Walk,2,14,7.96,0.06
5,iPhone,Walk,2,15,18.98,0.05
5,iPhone,Walk,2,16,17.85,0.05
5,iPhone,Walk,2,17,19.84,0.03
5,iPhone,Walk,2,18,21.2,0.07
5,iPhone,Walk,2,19,20.7,0.03
5,iPhone,Walk,2,20,16.82,0.03
6,iPhone,Sit,3,1,22.05,0.01
6,iPhone,Sit,3,2,20.74,0.04
6,iPhone,Sit,3,3,17.93,0.02
6,iPhone,Sit,3,4,24.86,0.03
6,iPhone,Sit,3,5,25.55,0.02
6,iPhone,Sit,3,6,19.07,0.04
6,iPhone,Sit,3,7,23.47,0.03
6,iPhone,Sit,3,8,19.76,0.02
6,iPhone,Sit,3,9,19.34,0
6,iPhone,Sit,3,10,16.59,0.02
6,iPhone,Sit,3,11,18.81,0.01
6,iPhone,Sit,3,12,22.24,0.05
6,iPhone,Sit,3,13,20.1,0.03
6,iPhone,Sit,3,14,18.03,0.01
6,iPhone,Sit,3,15,14.49,0.01
6,iPhone,Sit,3,16,18.54,0.02
6,iPhone,Sit,3,17,19.47,0.01
6,iPhone,Sit,3,18,9.85,0.02
6,iPhone,Sit,3,19,22.98,0.04
6,iPhone,Sit,3,20,24.36,0.02
6,iPhone,Stand,2,1,24.35,0.04
6,iPhone,Stand,2,2,17.93,0.03
6,iPhone,Stand,2,3,24.28,0.05
6,iPhone,Stand,2,4,25.8,0.01
6,iPhone,Stand,2,5,20.26,0.05
6,iPhone,Stand,2,6,25.71,0.03
6,iPhone,Stand,2,7,22.61,0.04
6,iPhone,Stand,2,8,19.92,0.02
6,iPhone,Stand,2,9,23.44,0
6,iPhone,Stand,2,10,25.62,0
6,iPhone,Stand,2,11,18.12,0.03
6,iPhone,Stand,2,12,27.17,0.02
6,iPhone,Stand,2,13,22.74,0.02
6,iPhone,Stand,2,14,25.44,0.05
6,iPhone,Stand,2,15,29.76,0.05
6,iPhone,Stand,2,16,29.66,0.06
6,iPhone,Stand,2,17,26.24,0.05
6,iPhone,Stand,2,18,24.21,0.03
6,iPhone,Stand,2,19,22.01,0.03
6,iPhone,Stand,2,20,30.68,0.03
6,iPhone,Walk,1,1,12.96,0.04
6,iPhone,Walk,1,2,17.46,0.05
6,iPhone,Walk,1,3,25.81,0.04
6,iPhone,Walk,1,4,23.54,0.03
6,iPhone,Walk,1,5,31.68,0.04
6,iPhone,Walk,1,6,12.49,0.03
6,iPhone,Walk,1,7,18.62,0.06
6,iPhone,Walk,1,8,13.31,0.03
6,iPhone,Walk,1,9,23.96,0.05
6,iPhone,Walk,1,10,19.85,0.04
6,iPhone,Walk,1,11,28.53,0.07
6,iPhone,Walk,1,12,15.82,0.04
6,iPhone,Walk,1,13,26.65,0.01
6,iPhone,Walk,1,14,27.04,0.05
6,iPhone,Walk,1,15,15.89,0.05
6,iPhone,Walk,1,16,10.29,0.07
6,iPhone,Walk,1,17,25.37,0.06
6,iPhone,Walk,1,18,12.02,0.04
6,iPhone,Walk,1,19,15.61,0.02
6,iPhone,Walk,1,20,20.2,0.01
7,iPhone,Sit,1,1,22.28,0.02
7,iPhone,Sit,1,2,28.15,0.02
7,iPhone,Sit,1,3,19.59,0
7,iPhone,Sit,1,4,24.65,0.02
7,iPhone,Sit,1,5,21.65,0.03
7,iPhone,Sit,1,6,26.52,0
7,iPhone,Sit,1,7,23.45,0.01
7,iPhone,Sit,1,8,17.77,0.01
7,iPhone,Sit,1,9,22.53,0.02
7,iPhone,Sit,1,10,21.17,0
7,iPhone,Sit,1,11,17.66,0.03
7,iPhone,Sit,1,12,22.46,0.03
7,iPhone,Sit,1,13,22.25,0.02
7,iPhone,Sit,1,14,18.68,0.02
7,iPhone,Sit,1,15,22.65,0
7,iPhone,Sit,1,16,22.8,0.02
7,iPhone,Sit,1,17,22.25,0
7,iPhone,Sit,1,18,19.05,0.02
7,iPhone,Sit,1,19,20.8,0.03
7,iPhone,Sit,1,20,25.74,0.01
7,iPhone,Stand,2,1,17.15,0.01
7,iPhone,Stand,2,2,29.59,0.03
7,iPhone,Stand,2,3,24.72,0.04
7,iPhone,Stand,2,4,21.88,0.04
7,iPhone,Stand,2,5,28.77,0.05
7,iPhone,Stand,2,6,26.38,0.02
7,iPhone,Stand,2,7,28.05,0.05
7,iPhone,Stand,2,8,25.66,0
7,iPhone,Stand,2,9,25.37,0.01
7,iPhone,Stand,2,10,23.46,0.02
7,iPhone,Stand,2,11,23.12,0.05
7,iPhone,Stand,2,12,21.11,0.04
7,iPhone,Stand,2,13,25.98,0.02
7,iPhone,Stand,2,14,21.93,0.02
7,iPhone,Stand,2,15,31.91,0.05
7,iPhone,Stand,2,16,23.93,0.07
7,iPhone,Stand,2,17,29.38,0.01
7,iPhone,Stand,2,18,28.64,0.05
7,iPhone,Stand,2,19,26.13,0.03
7,iPhone,Stand,2,20,24.44,0.01
7,iPhone,Walk,3,1,22.82,0.07
7,iPhone,Walk,3,2,15.16,0.04
7,iPhone,Walk,3,3,8.6,0.04
7,iPhone,Walk,3,4,18.5,0.04
7,iPhone,Walk,3,5,15.38,0.04
7,iPhone,Walk,3,6,23.54,0.06
7,iPhone,Walk,3,7,17.18,0.06
7,iPhone,Walk,3,8,15.4,0.04
7,iPhone,Walk,3,9,18.35,0.03
7,iPhone,Walk,3,10,15.19,0.02
7,iPhone,Walk,3,11,18.21,0.04
7,iPhone,Walk,3,12,14.99,0.03
7,iPhone,Walk,3,13,20.99,0.02
7,iPhone,Walk,3,14,21.45,0
7,iPhone,Walk,3,15,14.76,0.05
7,iPhone,Walk,3,16,22.07,0.05
7,iPhone,Walk,3,17,14.36,0.02
7,iPhone,Walk,3,18,15.88,0.03
7,iPhone,Walk,3,19,16.87,0.06
7,iPhone,Walk,3,20,20.56,0.01
8,iPhone,Sit,1,1,18.63,0.02
8,iPhone,Sit,1,2,18.08,0
8,iPhone,Sit,1,3,19.35,0.02
8,iPhone,Sit,1,4,28.55,0.01
8,iPhone,Sit,1,5,22.24,0.01
8,iPhone,Sit,1,6,18.95,0.07
8,iPhone,Sit,1,7,20.4,0.05
8,iPhone,Sit,1,8,25.17,0.04
8,iPhone,Sit,1,9,17.3,0.03
8,iPhone,Sit,1,10,21.05,0.02
8,iPhone,Sit,1,11,19.51,0.05
8,iPhone,Sit,1,12,22.37,0.03
8,iPhone,Sit,1,13,18.77,0.03
8,iPhone,Sit,1,14,22.05,0.01
8,iPhone,Sit,1,15,19.74,0.01
8,iPhone,Sit,1,16,19.18,0.01
8,iPhone,Sit,1,17,21.12,0.02
8,iPhone,Sit,1,18,17.67,0.03
8,iPhone,Sit,1,19,21.55,0.01
8,iPhone,Sit,1,20,19.78,0
8,iPhone,Stand,3,1,29,0.03
8,iPhone,Stand,3,2,25.74,0.03
8,iPhone,Stand,3,3,26.79,0.01
8,iPhone,Stand,3,4,31.76,0.04
8,iPhone,Stand,3,5,16.69,0.01
8,iPhone,Stand,3,6,22.73,0.06
8,iPhone,Stand,3,7,23.79,0.08
8,iPhone,Stand,3,8,28.53,0.05
8,iPhone,Stand,3,9,29.32,0.03
8,iPhone,Stand,3,10,31.9,0.02
8,iPhone,Stand,3,11,22.14,0.01
8,iPhone,Stand,3,12,24.99,0.02
8,iPhone,Stand,3,13,26.98,0.01
8,iPhone,Stand,3,14,26.28,0.01
8,iPhone,Stand,3,15,29.2,0.01
8,iPhone,Stand,3,16,24.87,0.03
8,iPhone,Stand,3,17,14.81,0.02
8,iPhone,Stand,3,18,23.44,0.02
8,iPhone,Stand,3,19,20.89,0.04
8,iPhone,Stand,3,20,23.01,0.04
8,iPhone,Walk,2,1,23.87,0.02
8,iPhone,Walk,2,2,21.74,0.01
8,iPhone,Walk,2,3,29.63,0.02
8,iPhone,Walk,2,4,15.56,0.06
8,iPhone,Walk,2,5,17.72,0.03
8,iPhone,Walk,2,6,24.57,0.01
8,iPhone,Walk,2,7,14.64,0.04
8,iPhone,Walk,2,8,26.62,0.03
8,iPhone,Walk,2,9,19.56,0.06
8,iPhone,Walk,2,10,15.91,0.06
8,iPhone,Walk,2,11,20.3,0.02
8,iPhone,Walk,2,12,20.41,0.04
8,iPhone,Walk,2,13,21.33,0.06
8,iPhone,Walk,2,14,26.66,0.02
8,iPhone,Walk,2,15,26.08,0.05
8,iPhone,Walk,2,16,20.63,0.05
8,iPhone,Walk,2,17,15.07,0.06
8,iPhone,Walk,2,18,20.22,0.04
8,iPhone,Walk,2,19,20.44,0.02
8,iPhone,Walk,2,20,11.52,0.01
9,iPhone,Sit,2,1,18.29,0
9,iPhone,Sit,2,2,17.46,0.02
9,iPhone,Sit,2,3,24.18,0.02
9,iPhone,Sit,2,4,26.37,0.02
9,iPhone,Sit,2,5,23.72,0.02
9,iPhone,Sit,2,6,23.54,0.02
9,iPhone,Sit,2,7,20.82,0.01
9,iPhone,Sit,2,8,22.36,0.04
